借款人编号,借款人名称,行业归属,信贷客户号,评级
5929000028,福建凯西不锈钢有限公司,C31400:钢压延加工,CM1003260114781,D
0279001354,武汉重工铸锻有限责任公司,C31300:黑色金属铸造,CM1003260068702,4B
1219020579,甘肃酒钢集团宏兴钢铁股份有限公司,C31200:炼钢,CM1003260073106,5A
7319000375,涟源钢铁集团有限公司,C31200:炼钢,CM1003260117899,7A
5319034611,山东泳椿集团有限公司,C31400:钢压延加工,CM1005040000070,6B
9919025438,新疆金特钢铁股份有限公司,C31200:炼钢,CM1003260127403,D
5329043707,山东智汇蠕墨新材料科技股份公司,C31300:黑色金属铸造,CM1003260097540,D
5799000058,金华唯一不锈钢带有限公司,C31400:钢压延加工,CM1003260112206,D
5319029113,莱芜市九羊福利铁厂有限公司,C31100:炼铁,CM1003260094775,7A
1229035635,天铁热轧板有限公司,C31200:炼钢,CM1003260077554,D
5919000101,福建吴航不锈钢制品有限公司,C31400:钢压延加工,CM1003260113194,4B
7319021027,湖南华菱涟源钢铁有限公司,C31200:炼钢,CM1003260118280,7A
1239067286,鞍钢蒂森克虏伯（重庆）汽车钢有限公司,C31400:钢压延加工,CM1504230000425,4B
5519023760,安徽应流铸业有限公司,C31300:黑色金属铸造,CM1003260098804,5A
1109062301,吉林建龙钢铁有限责任公司,C31200:炼钢,CM1003260070917,9
1209021402,广州JFE钢板有限公司,C31400:钢压延加工,CM1003260071624,4B
5719045308,浙江龙盛薄板有限公司,C31400:钢压延加工,CM1003260101360,4B
3719000030,河南鸽瑞复合材料有限公司,C31400:钢压延加工,CM1003260083712,D
4119064230,大连更新白钢制品有限公司,C31400:钢压延加工,CM1702210000135,4A
4519023916,河北敬业钢铁有限公司,C31200:炼钢,CM1003260086225,9
7579001418,佛山市三水南钢实业有限公司,C31400:钢压延加工,CM1003260122805,5A
3159000296,唐山天一工业有限公司,C31400:钢压延加工,CM1608310000042,4A
3719021390,河南鑫金汇不锈钢产业有限公司,C31400:钢压延加工,CM1003260084073,4A
5779031455,温州市龙湾长城钢管厂,C31400:钢压延加工,CM1003260111731,5B
7579016428,福建青拓镍业有限公司,C31500:铁合金冶炼,CM1304257800246,3A
5779020091,青山控股集团有限公司,C31400:钢压延加工,CM1003260110457,4A
5779032845,福建鼎信实业有限公司,C31500:铁合金冶炼,CM1010297400033,3C
5779029275,浙江五星钢管制造有限公司,C31400:钢压延加工,CM1003260111184,D
7559038182,内蒙古鄂尔多斯电力冶金集团股份有限公司,C31500:铁合金冶炼,CM1003260120890,3B
5779020095,浙江青山钢铁有限公司,C31200:炼钢,CM1003260110459,6A
9919031445,新疆昆仑钢铁有限公司,C31200:炼钢,CM1306092300204,4C
6109020400,宜兴市亚东集装箱配件有限公司,C31300:黑色金属铸造,CM1003260117355,D
7179000244,内蒙古包钢钢联股份有限公司,C31400:钢压延加工,CM1003260117661,D
1219108712,上海精锐捷时达钢材加工有限公司,C31400:钢压延加工,CM1304156800181,6A
0229000465,天津铁厂,C31100:炼铁,CM1003260066828,D
1259020403,张家港沙景钢铁有限公司,C31200:炼钢,CM1003260078891,4B
9519000200,宁夏吉元冶金集团有限公司,C31500:铁合金冶炼,CM1011229800178,4A
9519000984,平罗县恒利冶金化工有限公司,C31500:铁合金冶炼,CM1604210000049,5A
7559034812,新兴铸管股份有限公司,C31300:黑色金属铸造,CM1003260120712,2B
5129021096,烨辉（中国）科技材料有限公司,C31400:钢压延加工,CM1003260089009,4B
4119020895,齐齐哈尔北兴特殊钢有限责任公司,C31400:钢压延加工,CM1003260085270,D
1249027124,东北特钢集团北满特殊钢有限责任公司,C31200:炼钢,CM1003260078601,D
1249027121,齐齐哈尔北方锻钢制造有限责任公司,C31400:钢压延加工,CM1003260078600,D
7559156412,承德建龙特殊钢有限公司,C31200:炼钢,CM1003260122083,D
5469000030,山东威兰德精密装备制造有限公司,C31400:钢压延加工,CM1107062400248,D
0219002880,湖南华菱钢铁集团有限责任公司,C31400:钢压延加工,CM1003260066125,7A
5139026190,南通聚星铸锻有限公司,C31300:黑色金属铸造,CM1009142900114,6A
5129000569,常熟市龙腾特种钢有限公司,C31400:钢压延加工,CM1003260088585,6C
9319000775,腾达西北铁合金有限责任公司,C31500:铁合金冶炼,CM1003260126605,4C
7559146902,首钢水城钢铁（集团）有限责任公司,C31200:炼钢,CM1003260121851,7A
5109026543,无锡环胜金属制品有限公司,C31400:钢压延加工,CM1004130000002,4B
9319046419,甘肃山丹腾达西铁冶金有限责任公司,C31500:铁合金冶炼,CM1606270001113,5A
0249000374,沈阳线材厂,C31400:钢压延加工,CM1011068202510,D
5779038372,浙江卓业能源装备有限公司,C31400:钢压延加工,CM1308159000197,5A
5319033218,淄博付山翼板制造有限公司,C31400:钢压延加工,CM1003260095539,6A
5779025959,温州市江南钢管制造有限公司,C31400:钢压延加工,CM1003260110555,D
5109020488,无锡新大中薄板有限公司,C31400:钢压延加工,CM1003260087193,8
5109028417,无锡市前洲无缝钢管厂,C31400:钢压延加工,CM1105207700025,D
5109000744,无锡市振达特种钢管制造有限公司,C31400:钢压延加工,CM1003260086930,D
5109000683,无锡天龙钢管有限公司,C31400:钢压延加工,CM1003260086911,6B
7559186048,广东吉瑞科技集团有限公司,C31400:钢压延加工,CM1202225100149,4A
5109000657,无锡中彩新材料股份有限公司,C31400:钢压延加工,CM1003260086897,4A
5109020692,无锡银星涂层板有限公司,C31400:钢压延加工,CM1003260087251,7B
9729000192,青海长源特种硅业有限公司,C31500:铁合金冶炼,CM1210249500028,5B
3119000941,天津友发钢管集团股份有限公司,C31400:钢压延加工,CM1207199900101,4B
9990106492,廊坊富沃德实业有限公司,C31400:钢压延加工,CM1103141000151,D
1299045204,石家庄钢铁有限责任公司,C31100:炼铁,CM1003260083252,3B
0279000052,邯郸钢铁集团有限责任公司,C31200:炼钢,CM1003260068488,4A
7929001135,九江萍钢钢铁有限公司,C31200:炼钢,CM1306284200205,3C
9319000433,西宁特殊钢股份有限公司,C31200:炼钢,CM1003260126559,7A
7319020143,湖南华菱湘潭钢铁有限公司,C31200:炼钢,CM1003260118081,6C
7319000066,湘潭钢铁集团有限公司,C31400:钢压延加工,CM1003260117823,6C
7559166641,河钢股份有限公司邯郸分公司,C31200:炼钢,CM1005201300121,3B
5119022253,江阴永利新型包装材料有限公司,C31400:钢压延加工,CM1104164300004,5C
5319035751,山东众冠交通设施有限公司,C31400:钢压延加工,CM1011240000134,D
9319000607,包钢（集团）公司计划财务部,C31200:炼钢,CM1003260126578,7A
3119001059,唐山首唐宝生功能材料有限公司,C31400:钢压延加工,CM1209024400023,D
5119021518,江阴科玛金属制品有限公司,C31400:钢压延加工,CM1003260088251,7A
3119000354,霸州市凯达金属制品有限公司,C31400:钢压延加工,CM1103141000163,D
0249001438,凌源钢铁股份有限公司,C31200:炼钢,CM1003260067839,5A
7559164861,宣化钢铁棒材有限责任公司,C31400:钢压延加工,CM1009052012984,4A
5319037266,山东冠洲鼎鑫板材科技有限公司,C31400:钢压延加工,CM1203056300027,6B
5319000791,山东冠洲股份有限公司,C31400:钢压延加工,CM1003260094145,8
7559156645,邯钢集团邯宝钢铁有限公司,C31200:炼钢,CM1003260122090,3B
5129000126,江苏沙钢集团有限公司,C31200:炼钢,CM1003260088395,4B
5519000262,马鞍山钢铁股份有限公司,C31200:炼钢,CM1003260098577,2B
1249025761,本钢板材股份有限公司,C31200:炼钢,CM1003260078593,6A
4119038819,鞍钢蒂森克虏伯汽车钢有限公司,C31400:钢压延加工,CM1003260085731,2B
4119041360,吉林鑫达钢铁有限公司,C31200:炼钢,CM1106301800141,D
5319035418,山东东鼎复合材料有限公司,C31400:钢压延加工,CM1009193400081,7B
5329043049,山东聊城中钢联金属制造有限公司,C31400:钢压延加工,CM1003260097448,D
5129027683,张家港市广大机械锻造有限公司,C31400:钢压延加工,CM1003260090065,4A
5129000253,江苏永钢集团有限公司,C31200:炼钢,CM1003260088459,6A
